feature_1,feature_2,feature_3,feature_4,feature_5
135.4217893456789, 0.543210987654321, 0.456789123456789, 27, 14
118.9876543210987, 0.321098765432109, 0.678901234567890, 33, 8
142.3456789012345, 0.765432109876543, 0.234567890123456, 19, 22
105.6789012345678, 0.432109876543210, 0.890123456789012, 41, 5
150.1234567890123, 0.654321098765432, 0.345678901234567, 7, 30
127.8901234567890, 0.210987654321098, 0.789012345678901, 38, 11
160.4567890123456, 0.876543210987654, 0.123456789012345, 15, 26
113.2109876543210, 0.109876543210987, 0.987654321098765, 52, 3
148.7654321098765, 0.987654321098765, 0.012345678901234, 29, 18
102.3456789012345, 0.456789012345678, 0.543210987654321, 47, 9
139.8765432109876, 0.345678901234567, 0.654321098765432, 23, 25
155.1098765432109, 0.789012345678901, 0.210987654321098, 6, 34
116.4321098765432, 0.234567890123456, 0.765432109876543, 59, 12
144.6789012345678, 0.567890123456789, 0.432109876543210, 17, 28
122.9012345678901, 0.890123456789012, 0.109876543210987, 44, 7
153.3210987654321, 0.123456789012345, 0.876543210987654, 31, 19
108.5678901234567, 0.678901234567890, 0.321098765432109, 55, 4
137.7890123456789, 0.444444444444444, 0.555555555555555, 20, 21
149.0123456789012, 0.999999999999999, 0.000000000000001, 88, 37
114.2345678901234, 0.000000000000001, 0.999999999999999, 63, 50
162.4567890123456, 0.555555555555555, 0.444444444444444, 13, 42
129.6789012345678, 0.333333333333333, 0.666666666666666, 74, 29
157.8901234567890, 0.666666666666666, 0.333333333333333, 9, 36
111.1098765432109, 0.222222222222222, 0.777777777777777, 67, 15
146.3210987654321, 0.777777777777777, 0.222222222222222, 35, 24
125.5432109876543, 0.111111111111111, 0.888888888888888, 58, 8
151.7654321098765, 0.888888888888888, 0.111111111111111, 26, 33
107.9876543210987, 0.444444444444444, 0.555555555555555, 71, 6
133.2109876543210, 0.555555555555555, 0.444444444444444, 40, 17
147.4321098765432, 0.666666666666666, 0.333333333333333, 12, 22
