feature_1,feature_2,feature_3,feature_4,feature_5,cluster
125.85762047127898,0.4182571173958718,0.3808816505625261,36,7,0
145.82272396469034,0.6874404421708216,0.7505039921118998,1,11,0
132.33160512859726,0.4644262875047366,0.1697304511548899,29,26,0
125.38598195962764,0.3257225742917443,0.7617110734353557,5,13,0
110.83857592066856,0.2172751098739318,0.7086419713826426,16,2,0
137.50729356799872,0.247074742024274,0.4179136778352863,38,1,0
112.5104653515231,0.6755749414489971,0.328690617237782,40,16,2
167.01276009384958,0.5175877911892317,0.2629208904953398,22,1,0
175.63953126012353,0.5756054477761054,0.5301252945338121,30,16,0
106.01298225909332,0.8276699051282395,0.1231522140328539,19,1,2
155.00700456991976,0.893237263177693,0.1109242451127797,4,1,0
123.46739037034854,0.3518278890789317,0.4001570057487665,20,12,0
128.16534733127187,0.6641547421700705,0.1476518517823041,42,6,2
171.07159659511933,0.3843256637160054,0.276358691772265,10,8,0
68.52432698374643,0.21445569962601,0.2548126407422587,3,8,2
70.45551596418488,0.7308650576852991,0.2772338356059963,22,13,2
62.426207692839085,0.4240120055757275,0.1917386618506804,37,10,2
159.91438146575257,0.4684247259203286,0.108425356028358,29,19,0
153.37881011398207,0.6118219794875239,0.1808390079971236,41,18,0
164.4014577896183,0.7817339186653334,0.5329361816589235,40,0,0
177.43420106793167,0.6402872905138041,0.7819793489726352,17,23,0
155.89902770600685,0.8108554588131767,0.7932415010926258,40,4,0
115.37752347035182,0.3914794243709451,0.3863378667611431,42,22,2
153.66350115437467,0.7586327837387945,0.2140680982326238,30,0,0
74.19293110427199,0.3299451610141665,0.5471332301565706,29,5,2
136.79052255930287,0.8669541598803612,0.443213742584116,33,15,2
77.20239448908558,0.6812417934714707,0.7925868440991021,30,19,2
173.36027004595007,0.3508553739794909,0.1457129450062461,46,15,0
122.6217986100086,0.8631594133422469,0.6482641068196692,37,19,2
109.75943279886285,0.7115990647391104,0.3018789481320457,24,25,2
